Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:03508000000:D	0	Unshipped		Long Beach=0
A+1:15495330000:D	0	Unshipped		Long Beach=0
A+1:03508250000:D	0	Unshipped		Long Beach=0
A+1:15448850000:D	208	Unshipped		Long Beach=208
A+1:15482660000:D	342	Unshipped		Long Beach=342
A+1:03508170000:D	68	Unshipped		Long Beach=68
A+1:15490490000:D	77	Unshipped		Long Beach=77
A+1:15481320000:D	36	Unshipped		Long Beach=36
A+1:03504090000:D	194	Unshipped		Long Beach=194
A+1:03528270000:D	17	Unshipped		Long Beach=17
A+1:03522790000:D	366	Unshipped		Long Beach=366
A+1:03503730000:D	34	Unshipped		Long Beach=34
A+1:03521310000:D	256	Unshipped		Long Beach=256
A+1:03504360000:D	194	Unshipped		Long Beach=194
A+1:03524560000:D	0	Unshipped		Long Beach=0
A+1:15491180000:D	1141	Unshipped		Long Beach=1141
A+1:15483030000:D	15	Unshipped		Long Beach=15
A+1:15496030000:D	0	Unshipped		Long Beach=0
A+1:15486790000:D	0	Unshipped		Long Beach=0
A+1:03528640000:D	3513	Unshipped		Long Beach=3513
A+1:03522590000:D	5666	Unshipped		Long Beach=5666
A+1:03522460000:D	0	Unshipped		Long Beach=0
A+1:15493240000:D	60	Unshipped		Long Beach=60
A+1:03504020000:D	0	Unshipped		Long Beach=0
A+1:03500220000:D	172	Unshipped		Long Beach=172
A+1:03503150000:D	1554	Unshipped		Long Beach=1554
A+1:15448450000:D	142	Unshipped		Long Beach=142
A+1:15496930000:D	381	Unshipped		Long Beach=381
A+1:15482610000:D	0	Unshipped		Long Beach=0
A+1:15483550000:D	290	Unshipped		Long Beach=290
A+1:15483490000:D	0	Unshipped		Long Beach=0
A+1:15481500000:D	90	Unshipped		Long Beach=90
A+1:15479450000:D	0	Unshipped		Long Beach=0
A+1:15500620000:D	0	Unshipped		Long Beach=0
A+1:03522710000:D	68	Unshipped		Long Beach=68
A+1:15491170000:D	355	Unshipped		Long Beach=355
A+1:15489370000:D	2	Unshipped		Long Beach=2
A+1:15490310000:D	418	Unshipped		Long Beach=418
A+1:15481220000:D	3344	Unshipped		Long Beach=3344
A+1:03513410000:D	0	Unshipped		Long Beach=0
A+1:15489320000:D	1856	Unshipped		Long Beach=1856
A+1:03521300000:D	338	Unshipped		Long Beach=338
A+1:15481540000:D	509	Unshipped		Long Beach=509
A+1:03526260000:D	0	Unshipped		Long Beach=0
A+1:15488280000:D	0	Unshipped		Long Beach=0
A+1:15449480000:D	1582	Unshipped		Long Beach=1582
A+1:15482860000:D	1039	Unshipped		Long Beach=1039
A+1:15490480000:D	8	Unshipped		Long Beach=8
A+1:03522090000:D	1700	Unshipped		Long Beach=1700
A+1:15484890000:D	0	Unshipped		Long Beach=0
A+1:15490600000:D	1135	Unshipped		Long Beach=1135
A+1:03526250000:D	1981	Unshipped		Long Beach=1981
A+1:03505030000:D	0	Unshipped		Long Beach=0
A+1:03528610000:D	0	Unshipped		Long Beach=0
A+1:15487990000:D	398	Unshipped		Long Beach=398
A+1:03528620000:D	0	Unshipped		Long Beach=0
A+1:03505040000:D	0	Unshipped		Long Beach=0
A+1:03517770000:D	0	Unshipped		Long Beach=0
A+1:03500020000:D	107	Unshipped		Long Beach=107
A+1:03506410000:D	0	Unshipped		Long Beach=0
A+1:03564430000:D	0	Unshipped		Long Beach=0
A+1:03502900000:D	0	Unshipped		Long Beach=0
A+1:03506420000:D	21	Unshipped		Long Beach=21
A+1:03564410000:D	0	Unshipped		Long Beach=0
A+1:03502890000:D	36	Unshipped		Long Beach=36
A+1:03560920000:D	0	Unshipped		Long Beach=0
A+1:03571370000:D	0	Unshipped		Long Beach=0
A+1:03504730000:D	4	Unshipped		Long Beach=4
A+1:03564170000:D	0	Unshipped		Long Beach=0
A+1:03504620000:D	30	Unshipped		Long Beach=30
A+1:03524980000:D	17	Unshipped		Long Beach=17
A+1:15448460000:D	0	Unshipped		Long Beach=0
A+1:03564310000:D	0	Unshipped		Long Beach=0
A+1:03504630000:D	7	Unshipped		Long Beach=7
A+1:03524990000:D	17	Unshipped		Long Beach=17
A+1:15448470000:D	0	Unshipped		Long Beach=0
A+1:03502870000:D	70	Unshipped		Long Beach=70
A+1:03564640000:D	0	Unshipped		Long Beach=0
A+1:03501630000:D	45	Unshipped		Long Beach=45
A+1:03506050000:D	45	Unshipped		Long Beach=45
A+1:03561040000:D	315	Unshipped		Long Beach=315
A+1:03564080000:D	21	Unshipped		Long Beach=21
A+1:03505630000:D	0	Unshipped		Long Beach=0
A+1:03563790000:D	0	Unshipped		Long Beach=0
A+1:03505600000:D	0	Unshipped		Long Beach=0
A+1:03501540000:D	0	Unshipped		Long Beach=0
A+1:03564990000:D	0	Unshipped		Long Beach=0
A+1:03506060000:D	75	Unshipped		Long Beach=75
A+1:03503470000:D	1	Unshipped		Long Beach=1
A+1:03540860000:D	0	Unshipped		Long Beach=0
A+1:03501660000:D	0	Unshipped		Long Beach=0
A+1:03504640000:D	1	Unshipped		Long Beach=1
A+1:03504650000:D	31	Unshipped		Long Beach=31
A+1:03502830000:D	109	Unshipped		Long Beach=109
A+1:15483450000:D	0	Unshipped		Long Beach=0
A+1:03501740000:D	0	Unshipped		Long Beach=0
A+1:03502840000:D	18	Unshipped		Long Beach=18
A+1:03506040000:D	122	Unshipped		Long Beach=122
A+1:03502570000:D	208	Unshipped		Long Beach=208
A+1:03569070000:D	0	Unshipped		Long Beach=0
A+1:03504040000:D	54	Unshipped		Long Beach=54
A+1:03563860000:D	0	Unshipped		Long Beach=0
A+1:03501570000:D	0	Unshipped		Long Beach=0
A+1:03502310000:D	20	Unshipped		Long Beach=20
A+1:03500390000:D	9	Unshipped		Long Beach=9
A+1:03565500000:D	0	Unshipped		Long Beach=0
A+1:03564510000:D	0	Unshipped		Long Beach=0
A+1:03500550000:D	5	Unshipped		Long Beach=5
A+1:03506030000:D	77	Unshipped		Long Beach=77
A+1:03501420000:D	0	Unshipped		Long Beach=0
A+1:03502580000:D	166	Unshipped		Long Beach=166
A+1:03500560000:D	4	Unshipped		Long Beach=4
A+1:03564150000:D	4	Unshipped		Long Beach=4
A+1:03509840000:D	0	Unshipped		Long Beach=0
A+1:03504060000:D	0	Unshipped		Long Beach=0
A+1:03504050000:D	40	Unshipped		Long Beach=40
A+1:03569760000:D	0	Unshipped		Long Beach=0
A+1:03502320000:D	0	Unshipped		Long Beach=0
A+1:03500400000:D	100	Unshipped		Long Beach=100
A+1:03501430000:D	42	Unshipped		Long Beach=42
A+1:03564400000:D	0	Unshipped		Long Beach=0
A+1:03505390000:D	24	Unshipped		Long Beach=24
A+1:03564420000:D	0	Unshipped		Long Beach=0
A+1:03505400000:D	3	Unshipped		Long Beach=3
A+1:03562820000:D	0	Unshipped		Long Beach=0
A+1:03514970000:D	17	Unshipped		Long Beach=17
A+1:03505470000:D	20	Unshipped		Long Beach=20
A+1:03504410000:D	4	Unshipped		Long Beach=4
A+1:03503760000:D	5	Unshipped		Long Beach=5
A+1:03504500000:D	74	Unshipped		Long Beach=74
A+1:03528210000:D	324	Unshipped		Long Beach=324
A+1:03500410000:D	52	Unshipped		Long Beach=52
A+1:03505480000:D	16	Unshipped		Long Beach=16
A+1:03501860000:D	54	Unshipped		Long Beach=54
