Inventory Number	Quantity	Quantity Update Type	Seller Cost	DC Quantity
A+1:13122NXK:D	850	Unshipped		Long Beach=850
A+1:13123NXK:D	62	Unshipped		Long Beach=62
A+1:13124NXK:D	40	Unshipped		Long Beach=40
A+1:13127NXK:D	904	Unshipped		Long Beach=904
A+1:13128NXK:D	312	Unshipped		Long Beach=312
A+1:13130NXK:D	709	Unshipped		Long Beach=709
A+1:13131NXK:D	521	Unshipped		Long Beach=521
A+1:13132NXK:D	850	Unshipped		Long Beach=850
A+1:13133NXK:D	449	Unshipped		Long Beach=449
A+1:13134NXK:D	754	Unshipped		Long Beach=754
A+1:13136NXK:D	609	Unshipped		Long Beach=609
A+1:13137NXK:D	213	Unshipped		Long Beach=213
A+1:13138NXK:D	228	Unshipped		Long Beach=228
A+1:13139NXK:D	584	Unshipped		Long Beach=584
A+1:13140NXK:D	458	Unshipped		Long Beach=458
A+1:13141NXK:D	476	Unshipped		Long Beach=476
A+1:13142NXK:D	214	Unshipped		Long Beach=214
A+1:13143NXK:D	353	Unshipped		Long Beach=353
A+1:13144NXK:D	304	Unshipped		Long Beach=304
A+1:13145NXK:D	693	Unshipped		Long Beach=693
A+1:13146NXK:D	0	Unshipped		Long Beach=0
A+1:13147NXK:D	474	Unshipped		Long Beach=474
A+1:13148NXK:D	239	Unshipped		Long Beach=239
A+1:13247NXK:D	0	Unshipped		Long Beach=0
A+1:13260NXK:D	850	Unshipped		Long Beach=850
A+1:13312NXK:D	480	Unshipped		Long Beach=480
A+1:13313NXK:D	274	Unshipped		Long Beach=274
A+1:13320NXK:D	850	Unshipped		Long Beach=850
A+1:13321NXK:D	507	Unshipped		Long Beach=507
A+1:13333NXK:D	783	Unshipped		Long Beach=783
A+1:13345NXK:D	610	Unshipped		Long Beach=610
A+1:13353NXK:D	598	Unshipped		Long Beach=598
A+1:13354NXK:D	582	Unshipped		Long Beach=582
A+1:13363NXK:D	732	Unshipped		Long Beach=732
A+1:13416NXK:D	0	Unshipped		Long Beach=0
A+1:13417NXK:D	101	Unshipped		Long Beach=101
